L N N1 N2 N3 W S1 S2 S3 F1 F2 F3 C T T10 T25 T50 T75 T90
0 4 2 2 2 50000000 400 800 800 0.0 1.0 1.0 0 2.192165 2.097480 2.099254 2.192165 2.283883 2.285520
0 8 4 2 0 50000000 400 800 800 0.0 1.0 0.0 2 0.778792 0.762860 0.769773 0.778792 0.789374 0.830902
0 16 8 2 0 10000000 200 400 400 0.0 0.0 0.0 1 5.715521 4.649406 5.406882 5.715521 5.716064 5.968150
0 8 2 2 2 10000000 400 800 800 0.0 1.0 1.0 1 0.816553 0.592992 0.760047 0.816553 0.832881 0.879598
0 16 4 2 2 50000000 200 400 400 0.0 1.0 0.0 0 40.851771 11.554651 32.209223 40.851771 41.215860 41.371541
0 16 4 2 2 50000000 200 400 400 0.0 1.0 1.0 0 40.851771 11.554651 32.209223 40.851771 41.215860 41.371541
0 16 4 2 2 25000000 200 400 400 0.0 0.0 1.0 2 0.765130 0.634806 0.682374 0.765130 0.823025 0.842521
0 16 4 2 2 25000000 200 400 400 0.0 0.0 0.0 2 0.759126 0.633769 0.691893 0.759126 0.825489 0.845008
0 16 8 2 0 10000000 200 400 800 0.0 0.0 0.0 2 0.357588 0.309841 0.329606 0.357588 0.386471 0.398660
0 16 4 2 2 25000000 200 400 800 0.0 0.0 0.0 1 12.239036 9.316318 12.213349 12.239036 12.261430 12.731594
0 16 4 2 2 25000000 200 400 800 0.0 0.0 1.0 1 12.238816 9.036099 11.628688 12.238816 12.239498 12.556973
0 16 8 4 0 10000000 400 800 800 0.0 1.0 0.0 1 2.844705 2.420338 2.738787 2.844705 2.844977 2.997895
0 16 2 2 0 10000000 200 400 800 0.0 1.0 0.0 0 3.566774 2.162389 2.290785 3.566774 6.923570 7.219016
0 16 8 4 2 50000000 200 400 400 0.0 0.0 1.0 2 1.701734 1.177117 1.426170 1.701734 1.912718 1.955182
0 16 8 4 2 50000000 200 400 400 0.0 0.0 0.0 2 1.706778 1.190780 1.459081 1.706778 1.902256 1.960998
0 16 8 4 2 25000000 200 400 400 0.0 1.0 0.0 0 13.786144 10.263215 11.942723 13.786144 15.191888 15.505319
0 16 8 4 2 25000000 200 400 400 0.0 1.0 1.0 0 14.101601 10.045551 12.037940 14.101601 15.176372 15.518074
0 8 4 2 2 10000000 200 400 800 0.0 0.0 0.0 2 0.319147 0.298130 0.303336 0.319147 0.333776 0.337057
0 8 4 2 2 100000000 200 400 400 0.0 1.0 0.0 1 24.468915 18.200093 22.824820 24.468915 24.471017 24.471166
0 16 8 4 0 100000000 200 400 800 0.0 1.0 0.0 0 54.782998 41.746557 46.932382 54.782998 60.876395 61.982383
0 8 4 2 2 100000000 200 400 400 0.0 1.0 1.0 1 24.468915 18.200093 22.824820 24.468915 24.471017 24.471166
0 8 2 2 0 50000000 200 400 800 0.0 0.0 0.0 1 8.158306 5.561531 7.068620 8.158306 8.162393 8.305400
0 8 2 2 0 100000000 200 400 400 0.0 1.0 0.0 1 16.314678 10.562293 14.886194 16.314678 16.351116 16.691569
0 8 4 2 2 10000000 200 400 800 0.0 0.0 1.0 2 0.316043 0.298651 0.305884 0.316043 0.333809 0.339070
0 4 2 2 0 10000000 200 400 800 0.0 0.0 0.0 0 0.880202 0.878049 0.878372 0.880202 0.882083 0.882670
